animalid,birthdate,animaltype,color,weight,location
0a3b807dabb627,04/03/2013,Cat,Calico,2.0,Dallas
129ab56ca0abcf,03/17/2016,Dog,Tan,6.0,San Antonio
6d9a8af94fe510,03/09/2011,Dog,Black/Tan,3.0,San Antonio
adc580f3beaa23,07/12/2019,Cat,Tortie,3.0,Austin
e1a93c5a176410,06/03/2016,Cat,Tortie,2.0,Austin
9e888cf14eaed0,06/27/2004,Dog,Blue Tick,11.0,San Antonio
d0cfb2a403e9f7,05/16/2016,Cat,Brown Tabby/White,8.0,Houston
f143df80a0e85b,03/15/2018,Cat,Tortie,9.0,Dallas
153ddefeef4fa5,07/01/2019,Cat,Black/White,5.0,Austin
a3261e994375c0,03/29/2018,Dog,Black/Tan,9.0,Dallas
a5a0dd7d7258e5,05/21/2014,Cat,Brown Tabby,3.0,San Antonio
b0ba9ef5baa777,02/14/2011,Dog,Chocolate,33.0,Fort Worth
413e631561b302,03/05/2013,Cat,Orange/White,2.0,Dallas
a7602e5682669f,05/04/2014,Cat,Calico,8.0,San Antonio
8eb835f2103fc1,03/01/2011,Dog,White/Brown Brindle,39.0,Dallas
ed4e9638d6b617,07/10/2018,Cat,Blue/Blue,3.0,Dallas
a4a1f5bdfa6465,05/11/2014,Cat,Black,6.0,Austin
5678c093e52001,12/06/2019,Dog,Black Brindle,9.0,Houston
5b4974fcbe54e4,06/16/2012,Cat,Torbie,3.0,Fort Worth
fb2382b5775326,01/14/2017,Dog,Brown Brindle,39.0,Fort Worth
991ed32abec314,06/28/2016,Dog,Brown,47.0,San Antonio
f79c9cac3be408,05/27/2020,Cat,Calico,8.0,Austin
59788fb4dac9a1,05/30/2017,Dog,Black/Brown,36.0,Austin
ee352aa3a6455a,05/21/2012,Cat,Blue,7.0,San Antonio
c0c9d1f3abf4a2,06/18/2007,Cat,Blue/White,2.0,Austin
6c7a62350bd113,01/31/2007,Dog,Brown/White,33.0,Dallas
5ba246dfdca11f,03/11/2008,Dog,Brown,18.0,Dallas
64fe4c41d314e4,01/16/2015,Cat,Blue Tabby/White,5.0,Dallas
0e50af5cea271f,08/18/2012,Cat,White/Blue,8.0,Houston
10055b87a6aa2c,05/05/2018,Cat,Black Smoke/White,10.0,Fort Worth
17e6ead5447443,08/03/2017,Dog,Brown/Black,20.0,San Antonio
c2147c310d3c26,08/03/2005,Dog,Black/White,49.0,Austin
f3d400db00c33c,09/05/2014,Cat,Brown Tabby,8.0,Dallas
1b29299a99df7a,07/21/2016,Cat,Gray Tabby,9.0,Austin
2c51bd20349eee,08/08/2015,Cat,Orange Tabby,5.0,Austin
b8c15628099aa2,06/19/2018,Cat,Brown Tabby,10.0,San Antonio
d5bf9111156ca9,05/23/2007,Dog,Red,24.0,Dallas
42bb8a2146f822,03/28/2011,Dog,Silver/Tan,11.0,Austin
7f0b85fd6408a0,05/10/2016,Cat,Brown Tabby/White,6.0,San Antonio
b357b8d3123d3d,12/06/2015,Cat,Orange Tabby,9.0,Austin
26f7d556655922,12/15/2003,Cat,Orange Tabby,6.0,Austin
188c231dac1488,04/10/2015,Cat,Cream Tabby,2.0,Austin
df97d004a10b5f,03/28/2011,Cat,Black/Silver,5.0,San Antonio
4328e9e65d8d63,04/04/2014,Cat,Tortie,9.0,Houston
0433e1738ac07b,07/25/2018,Cat,Cream Tabby,8.0,Houston
c3726c586eddae,11/22/2013,Cat,Orange Tabby,5.0,Fort Worth
ae4a90a9c2075c,03/23/2017,Dog,Black/Brown,37.0,Austin
3704ff2b968beb,06/13/2017,Dog,White/Tan,36.0,Houston
904b509337eb47,04/19/2018,Cat,Blue,5.0,San Antonio
04e8b8667a5c9d,03/26/2013,Cat,Blue Cream,7.0,Austin
4877469d4d2610,12/21/2010,Dog,Black,43.0,Austin
6926f5789af50f,11/10/2017,Dog,Tricolor,48.0,Austin
1de7b5d80255bc,02/26/2003,Dog,Brown Brindle,24.0,Houston
28ffd81b8e54be,11/27/2020,Dog,Cream,38.0,Dallas
c38e2ed188c93e,05/06/2020,Cat,Gray Tabby,7.0,San Antonio
49f0d3c4f21df7,10/25/2017,Dog,Red,26.0,Dallas
0b4fcef46087c2,07/29/2019,Cat,Brown Tabby/White,9.0,Dallas
cd304596b8ba83,02/22/2019,Dog,Brown Brindle,6.0,San Antonio
c97ac170580696,07/10/2018,Cat,Blue,2.0,Fort Worth
dcaaa8ba643f7a,06/15/2015,Cat,Torbie,5.0,Austin
8e1cbc5b532625,04/28/2012,Dog,White/Brown,17.0,Austin
e9b2b1e0dec7a5,05/17/2019,Dog,Chocolate/White,3.0,Austin
849b38abb387ba,10/13/2016,Dog,Yellow,43.0,San Antonio
7e5e4307996df2,03/26/2019,Cat,Black/White,9.0,San Antonio
9d34bd3ff50fd7,10/19/2014,Dog,Tan,17.0,San Antonio
c28f14c9928d83,12/23/2015,Dog,Black/Brown,13.0,Austin
4190e4d55c3c57,07/19/2018,Cat,Blue,9.0,Austin
5035e3b2762a1a,06/06/2016,Dog,Black/White,42.0,Houston
e8dd41a7f33267,05/02/2016,Cat,Orange Tabby/White,5.0,Dallas
e1a06407d832c5,07/06/2011,Cat,Brown Tabby,2.0,San Antonio
ca27e328adec90,01/17/2009,Dog,White/Black,7.0,Houston
af46bde1898f1f,05/29/2019,Cat,Black,5.0,Houston
422031dd406c85,05/30/2013,Cat,Tortie,9.0,Austin
10e4de5253cd45,08/01/2016,Cat,Brown Tabby,5.0,Houston
23a6c6d08dab16,08/16/2014,Dog,Tan/White,30.0,Austin
346f914fbe622f,02/08/2012,Cat,Brown Tabby,6.0,Houston
8974702ea02652,01/22/2018,Cat,Blue Tabby,10.0,Austin
87801a4287c51b,07/29/2017,Cat,Gray Tabby/White,7.0,San Antonio
76b623924c5fd4,04/23/2011,Dog,White/Brown,45.0,Houston
1e282b68285da4,03/14/2010,Dog,Black/Tan,15.0,San Antonio
8f6c2b5dc4cb28,07/28/2016,Cat,Black,4.0,Houston
4920dced24cede,04/03/2014,Cat,White/Brown Tabby,7.0,Dallas
2bce83bdaba698,05/05/2016,Dog,Black/White,25.0,Austin
4eda1161b2f96c,08/27/2019,Dog,Tan/Brown,40.0,San Antonio
85b602a171b5e8,10/20/2014,Cat,Black/White,3.0,Fort Worth
5733fcdd0d2a00,02/26/2018,Dog,Black/White,10.0,San Antonio
26eff95f9bc04f,07/18/2013,Dog,Chocolate/Brown,32.0,Houston
73d117de93c28a,04/03/2015,Cat,Black,2.0,San Antonio
1721df19a788a9,03/09/2016,Cat,Seal Point,10.0,Dallas
a5d9accc1bcac2,01/27/2019,Dog,Black/White,49.0,Fort Worth
af58f2f43e69b1,09/11/2015,Cat,Brown Tabby/White,9.0,Austin
53d47791131e32,06/27/2016,Cat,Blue/White,10.0,San Antonio
e0bd1e3e55145b,03/13/2015,Dog,Red/White,49.0,Houston
4eefcf6ed3db93,10/06/2017,Dog,Tan,22.0,San Antonio
fe75c82e06c823,06/03/2011,Dog,White/Tan,5.0,Houston
f956ccf20c0766,01/27/2013,Cat,Black/White,4.0,Fort Worth
2aa548af5222ee,07/10/2013,Cat,Lynx Point,8.0,Houston
0a172119f94fe3,07/21/2015,Cat,Torbie,3.0,Fort Worth
a9507b8d1acbbd,06/01/2013,Dog,Black/White,44.0,Houston
6e5313035185a0,02/23/2009,Dog,White/Tan,16.0,Dallas
2f6da3da1451b4,06/27/2015,Dog,Gray/Tan,17.0,Houston
e4c45da5de6f7b,01/18/2016,Dog,Brown/White,21.0,San Antonio
148631eae1989f,07/08/2018,Cat,Orange Tabby/White,5.0,Austin
fc2b01b3809c25,07/13/2010,Dog,Red/White,39.0,Fort Worth
442ff5b74273fb,07/20/2006,Dog,Black/Tan,32.0,San Antonio
2d7d9146b1281e,04/26/2010,Cat,Tan/Cream Tabby,10.0,Houston
5e48fb44040f64,11/04/2008,Dog,Cream,25.0,Fort Worth
d8993031cbadf0,10/26/2015,Dog,White/Black,33.0,Austin
4ffef53db23295,03/07/2018,Dog,Black/Tricolor,21.0,San Antonio
bffdd7dabdf7b8,11/07/2010,Dog,Red/White,14.0,Houston
bc4b2b68962f5e,07/16/2006,Dog,Black/White,12.0,Austin
8396b1a647fd59,06/03/2014,Dog,Brown,16.0,Fort Worth
58e7c0ff234743,02/12/2017,Dog,Black/White,48.0,Fort Worth
cfc9bb534729e2,08/25/2019,Cat,Brown Tabby,2.0,San Antonio
615908186a0e1d,12/18/2001,Dog,Brown,17.0,Austin
8ed8642a08523b,09/19/2018,Dog,Black/Tricolor,33.0,Austin
170445de11d689,01/09/2016,Dog,Brown/Tan,15.0,Dallas
35e7a32dccc8a0,06/14/2018,Cat,Blue,3.0,Austin
e5e6abd0ab0ebe,05/01/2018,Dog,White/Brown,27.0,Dallas
966112a86af351,07/09/2011,Cat,Blue,4.0,Austin
e913c35f7c3a6f,05/09/2010,Dog,Black/Tan,32.0,San Antonio
d41adfbf45f426,05/11/2017,Dog,Brown/White,31.0,San Antonio
5a87697178bb5f,07/30/2015,Cat,Black,10.0,Austin
be744f2f8a6196,08/11/2015,Dog,Tan/White,18.0,Dallas
7d5072375a83c0,06/29/2013,Dog,Red,25.0,San Antonio
79fa29dee7c97d,02/16/2021,Dog,Brown Brindle,14.0,Austin
eaa9abc216ec6a,07/08/2018,Cat,Seal Point,10.0,San Antonio
caf04a6ac740f6,12/16/2015,Dog,Black/Brown,46.0,San Antonio
7d97ea59f99b2c,04/04/2013,Dog,Red/White,44.0,Austin
26ee655bdfd3c3,03/29/2009,Dog,Gray/Tan,38.0,Houston
e55da869a3b47f,07/01/2017,Dog,Tan,20.0,Houston
9a1d11489181a7,03/27/2019,Cat,Cream Tabby,8.0,Austin
675489fb8e8757,07/03/2011,Dog,Brown/Black,47.0,Dallas
b8c7fffb259801,08/18/2018,Cat,Calico,2.0,San Antonio
cee66d4d7b358b,04/12/1999,Dog,Chocolate/Tan,4.0,Austin
341d9f3714f47e,06/25/2014,Cat,Black/White,5.0,Fort Worth
f4cc11df83855e,03/09/2015,Dog,Black/Brown,40.0,Houston
3364f9e60f023e,11/10/2015,Dog,Tan/White,31.0,Austin
a1a4159214c0e9,04/17/2012,Dog,Blue Merle/White,47.0,Houston
c0b9fc5322ef26,07/24/2016,Dog,Black/White,14.0,San Antonio
214c71ad4f1b9c,08/01/2017,Cat,Torbie,6.0,Austin
e5521623d73bc4,04/27/2019,Cat,Calico,10.0,Austin
b539aa63383a70,09/02/2015,Dog,Black,45.0,San Antonio
d25023e8c7fa24,09/07/2015,Cat,Blue Smoke,6.0,Dallas
77f3ede3da14e0,05/15/2013,Dog,Gray/White,7.0,Fort Worth
3a1d12a2e189c2,12/09/2018,Dog,Black/White,11.0,Fort Worth
d62ebec619405b,08/26/2015,Cat,Black,10.0,Houston
e8a43511baff1e,09/19/2004,Dog,Tan,48.0,Fort Worth
d716d3538afc3a,02/11/2015,Dog,Tan,25.0,Fort Worth
ccb6294c250f60,11/13/2018,Cat,Black/White,5.0,Fort Worth
f1ab6603fafeec,04/09/2016,Cat,Brown Tabby,4.0,San Antonio
6dd0447e9d068e,05/09/2010,Dog,White/Tricolor,27.0,Houston
ec6cd633070abf,07/08/2014,Dog,Black/White,23.0,Fort Worth
98e9315663198a,10/06/2016,Dog,Black,30.0,Houston
96f9430a5884cb,06/28/2019,Dog,Black/Tan,23.0,Dallas
8aeaa72cc7f612,06/16/2011,Dog,Tricolor,43.0,Houston
4da93e4671870c,05/18/2015,Cat,Brown Tabby,6.0,Austin
85615acabba449,01/07/2017,Dog,Black/White,38.0,Austin
9d8ef194fccdad,04/22/2015,Cat,Brown Tabby,5.0,San Antonio
708ccb534ef4f2,02/17/2016,Dog,Tan/White,4.0,Houston
c3e55db57f3926,07/28/2018,Dog,Black,37.0,Austin
3202ca2682776c,10/10/2013,Dog,Tan/White,3.0,Fort Worth
0aca63de48e1d1,03/29/2019,Dog,Tan/Brown,26.0,Austin
e276133a4c37d8,11/30/2015,Cat,Tortie,2.0,Houston
2c5f9cc9d08c8e,12/26/2015,Dog,Buff,12.0,Houston
b776fd8a79bf8f,02/22/2015,Dog,Black/White,20.0,Austin
6bd31c0c7c292c,09/11/2014,Cat,Blue,3.0,San Antonio
457bbe4f933737,05/03/2014,Cat,Calico,5.0,Dallas
f45a9c679af23c,03/28/2014,Dog,Brown/White,41.0,Austin
f1dfe28b8a35d1,11/29/2012,Dog,Chocolate/White,26.0,Austin
b043fe5f9d5ca6,06/29/2019,Cat,Blue Tabby,6.0,Austin
42b4c8e166db31,03/14/2015,Cat,Black/White,5.0,San Antonio
f506471122c937,12/05/2012,Dog,Tan/White,40.0,Houston
fa34b904169843,03/15/2015,Cat,Brown Tabby,6.0,Austin
924a051f96face,11/20/2017,Dog,Black/White,27.0,Fort Worth
8e548106af9f1b,01/14/2007,Dog,Black/White,24.0,Austin
dda6c0675fee09,11/26/2008,Cat,Torbie/White,3.0,Austin
13eb10204dd7c0,10/24/2009,Dog,Brown Brindle,42.0,Houston
14cda98a845174,10/12/2012,Dog,Blue,22.0,Fort Worth
2dbeae0b558cd2,01/20/2014,Dog,Brown/White,28.0,San Antonio
b871e4d615de47,11/13/2014,Dog,Tricolor,46.0,San Antonio
e1dbf11e170bbc,10/19/2015,Cat,Black,4.0,Austin
c5a6c78bae269c,05/17/2015,Bird,Green/Blue,1.79,San Antonio
fc16c559ea1271,08/29/2019,Dog,Tan,41.0,Dallas
be4f77168d50f9,09/09/2005,Dog,White,15.0,San Antonio
3268d26040595b,09/03/2018,Cat,Orange Tabby,9.0,Fort Worth
9b4c50480d7a3e,02/08/2016,Dog,Sable/Tan,34.0,Dallas
721652362af0b7,09/02/2015,Dog,Brown,31.0,Fort Worth
e53d68dc56490e,03/30/2013,Cat,Black/White,4.0,Houston
fd91870d819f54,10/27/2007,Cat,Orange Tabby,7.0,Houston
6440e1424a6927,04/10/2013,Dog,Blue/White,20.0,Austin
f148cb036a03d0,09/22/2016,Cat,Brown Tabby,8.0,Dallas
754e81a8720336,01/12/2015,Cat,Blue Tabby,9.0,Fort Worth
ebaa6777f3b00f,01/26/2017,Dog,Blue Merle,28.0,Austin
ca5fd379e13e83,11/08/2013,Dog,Brown/Tan,9.0,Houston
6fefae8f9c6f52,05/21/2014,Cat,Black Smoke,9.0,Fort Worth
0055763ba7afd9,09/25/2013,Dog,White,35.0,San Antonio
d08026a56b9ecb,10/28/2013,Dog,White/Brown,15.0,Austin
da6dbbe378abc8,11/24/2012,Dog,Tan/Cream,32.0,Houston
dc78e484ec5d9a,01/14/2010,Dog,Tan/White,26.0,Houston
ed22be4af0a29a,05/20/2016,Cat,Black/White,6.0,San Antonio
de629316935f8f,01/23/2010,Dog,Black/Tan,46.0,Austin
ffd8fb854e2890,10/04/2014,Dog,Blue/White,35.0,Dallas
086a4c65f58654,03/04/2018,Dog,Chocolate/White,45.0,Austin
edd6f582899526,12/21/2016,Cat,Black Smoke/White,8.0,Dallas
3487d63d1c995d,04/16/2013,Cat,Torbie,7.0,Austin
cb3c2e21ae89c8,02/10/2012,Cat,Calico/White,6.0,Dallas
c8d56792473a55,02/09/2019,Dog,Brown/White,23.0,Houston
9e1a1cd0cf61f5,08/09/2012,Dog,Tricolor,46.0,Fort Worth
c2f01a954d18ea,12/20/2017,Dog,Brown Brindle/White,24.0,Fort Worth
485b4ca08f4395,07/26/2017,Dog,Tan/Black,39.0,San Antonio
8673fb1d066b15,06/09/2015,Cat,Brown Tabby/White,6.0,Houston
a2e8209d944a75,04/16/2015,Cat,Chocolate Point,5.0,Houston
4195d23d06f5fa,08/24/2018,Dog,Brown/Tricolor,33.0,San Antonio
d44b4b6624d107,01/06/2006,Dog,Tan/White,27.0,Fort Worth
7d23cb280b3588,07/11/2014,Cat,Brown Tabby/White,8.0,Austin
5c94737110dbf0,11/02/2011,Dog,Blue,11.0,San Antonio
6f652d47d87140,06/12/2011,Dog,Tan/White,16.0,Fort Worth
d929f0d64276d4,12/19/2014,Dog,Black/Tan,34.0,San Antonio
624972bb3149e0,09/14/2014,Dog,White/Tan,8.0,Dallas
0b8f77000b82cb,04/25/2018,Dog,White,35.0,Dallas
56a863c00b1965,03/19/2012,Dog,Blue,17.0,Austin
9c4e6c12453443,06/08/2008,Dog,Chocolate,3.0,Houston
1fa41c1992c021,11/17/2016,Cat,Black/Brown,4.0,Austin
78d4c7a032037a,04/03/2017,Cat,Brown Tabby,6.0,Austin
e295e2e874532f,02/04/2018,Dog,Brown/Black,29.0,Fort Worth
0fac35eb6f8512,05/02/2015,Dog,Tan/White,29.0,Dallas
ac3efd6a82e3ac,09/22/2014,Cat,Orange Tabby/White,5.0,Houston
37bf3dc146715f,09/10/2013,Cat,Tortie,8.0,Houston
ca007ed171c6d3,04/17/2018,Cat,Black,3.0,Houston
27dbe758155240,04/08/2016,Cat,Blue Tabby/White,5.0,Dallas
23aa55f0e8050b,09/25/2014,Dog,White,18.0,Austin
48b52789edafe9,02/14/2017,Dog,Blue/White,16.0,Houston
cada423027df8b,06/09/2013,Dog,Brown Brindle/White,44.0,Austin
fa563a509c0e6b,04/08/2008,Dog,Black,41.0,Houston
3c685a4c6139c4,03/22/2017,Dog,White/Gray,20.0,Dallas
863740dc8613d4,11/02/2015,Dog,Tricolor/Brown Merle,42.0,Fort Worth
8ae1480648c55c,05/09/2015,Dog,Brown Brindle,14.0,Austin
77c2335b1b548a,08/24/2017,Cat,Black/White,5.0,Fort Worth
c719953563e400,04/28/2015,Cat,Black,2.0,Austin
43bee409c3d7df,12/05/2016,Dog,Tan/Black,30.0,Austin
f9172b46ecc0ba,06/27/2014,Cat,White,5.0,Houston
143898b081a79e,05/24/2010,Dog,Blue/White,20.0,Houston
c533df71c445b4,08/11/2019,Cat,Orange Tabby,6.0,Dallas
d8dfb569f74de8,09/09/2014,Dog,Blue/White,11.0,Austin
546176890be9cc,02/18/2019,Dog,Black/Tan,17.0,Houston
2491ed88d9577a,08/23/2014,Cat,Torbie,10.0,Austin
2a924b7cc14829,07/18/2015,Dog,Black,5.0,Austin
524fb03d229d7e,08/27/2011,Dog,White/Brown Brindle,27.0,Austin
8daffd35452ce5,08/20/2014,Dog,Black/White,48.0,Austin
d434704016d1c7,10/02/2014,Dog,Brown/White,25.0,San Antonio
328af9d6cb19d8,05/12/2013,Dog,White/Tan,41.0,Austin
d0589c4a93b79c,10/26/2013,Dog,Tricolor,26.0,Austin
7f9d23fdd03282,10/27/2010,Cat,Orange Tabby/Orange,6.0,Fort Worth
edeee4d5ab01b3,06/08/2016,Cat,Brown Tabby,2.0,Houston
df409ef77af2ab,10/30/2008,Dog,Red Tick/White,23.0,Austin
bec6392753c2cb,09/11/2012,Dog,Tan/White,10.0,Houston
5a78f5011912b3,01/27/2014,Dog,Blue/White,44.0,Austin
2d4e9046797ed6,07/11/2017,Dog,Black/White,26.0,Austin
7f4b8ebba62bba,10/04/2012,Dog,Brown Brindle/White,22.0,Houston
98f5d43d99903d,07/01/2013,Dog,Blue/White,23.0,Houston
9654ec395cff97,02/02/2018,Cat,Brown Tabby,4.0,Houston
15470e8e93d813,04/20/2012,Dog,Brown/White,4.0,Houston
43cca4ec9490a2,03/26/2018,Dog,Black/White,17.0,San Antonio
6d1b421a5aa4a9,11/15/2016,Cat,Black,3.0,Fort Worth
3ae44be39c2f9c,11/19/2006,Dog,Chocolate,6.0,San Antonio
88d39832d24c63,08/20/2015,Dog,Yellow/White,40.0,Austin
98e12a1ba07801,04/14/2019,Dog,Black/Black,30.0,Austin
ef3e53dfeaac22,01/03/2014,Dog,Fawn/White,27.0,Dallas
50e1e7a58f0132,08/04/2019,Cat,White/Black,6.0,Dallas
54847d8515cc16,11/21/2010,Dog,Tan,5.0,San Antonio
376d7a1ac24bc8,08/07/2020,Dog,Black/White,29.0,San Antonio
76cdf30ae3ab7b,02/03/2014,Dog,White/Brown,41.0,Dallas
82cad2353d1676,07/16/2001,Cat,Blue,5.0,Dallas
1e359e395490c3,08/08/2016,Cat,Black,5.0,Austin
870ae64f2bdf6b,05/13/2014,Cat,Seal Point,5.0,Fort Worth
85abcc02691d2b,12/19/2010,Dog,Sable/White,14.0,Houston
68287884457c2c,12/04/2018,Dog,White/Black,5.0,Austin
34485abb7a1f48,06/16/2019,Dog,Brown,43.0,Fort Worth
74afb6a7513cbf,06/22/2015,Dog,White,39.0,Houston
c8636f796debef,07/03/2011,Cat,Seal Point,9.0,Fort Worth
e7d2481890e2e5,03/02/2018,Dog,White/Tan,43.0,Austin
7321133911af1d,08/17/2016,Dog,Blue/White,11.0,Houston
af3a2d0f19dcfd,08/23/2014,Dog,Liver/White,4.0,San Antonio
b3ac46307977f2,07/11/2006,Cat,Seal Point,9.0,Fort Worth
49ac0f88ea7e8b,04/20/2019,Cat,Torbie,2.0,Fort Worth
1e3fa73412ccbe,12/13/2011,Dog,Blue,15.0,Austin
c432ef16845c98,04/15/2007,Dog,Black/Tan,31.0,Austin
aba05a7c70e3e6,10/22/2012,Dog,Blue Merle/White,28.0,Austin
0004f63e21c285,08/15/2004,Dog,Brown,12.0,Houston
91c0d99565b07e,03/09/2014,Cat,Orange Tabby,2.0,Austin
71b7e4d4c59d79,08/02/2011,Dog,Brown/White,10.0,Houston
d3417641581534,08/06/2019,Dog,Black,7.0,Dallas
674f94dcfa1c2e,08/18/2016,Cat,Orange Tabby/White,6.0,Dallas
92a47d52c25418,03/12/2019,Dog,Tan/Black,37.0,Austin
582c51a99e0b50,07/21/2013,Cat,Tortie,10.0,Houston
8e385ccb99f8e0,11/08/2013,Cat,Black/White,10.0,San Antonio
922ee6785a16d1,04/10/2017,Cat,Orange Tabby/White,4.0,Dallas
5f1b55301deb9a,09/01/2020,Cat,Black,4.0,Dallas
4d03de1701144e,09/26/2018,Dog,Tricolor/White,29.0,Houston
4d30e8ea0325ff,05/10/2019,Cat,White/Blue Tabby,9.0,Austin
378f72dfebf834,09/03/2013,Dog,Brown/White,42.0,Austin
32e3dae35d8b1b,08/05/2012,Dog,Blue/White,25.0,San Antonio
a0b61b2786fe0c,10/03/2015,Dog,Tricolor,37.0,San Antonio
79e6cc2c5cdd74,09/15/2017,Dog,White/Brown,27.0,Dallas
628322f39ab630,09/09/2016,Cat,White/Black,10.0,Austin
beb49b14a9b661,03/28/2016,Dog,Tricolor,27.0,Fort Worth
4a1aa203d62e80,05/04/2013,Dog,Blue/White,33.0,Houston
6a5b6dcad0c333,01/03/2019,Dog,Brown/White,28.0,San Antonio
7023fea16d5e39,08/19/2013,Cat,Blue Tabby/White,10.0,Austin
dcc75ce6a60e6f,09/11/2007,Dog,Black/Red,3.0,Fort Worth
de7a016c3dc963,06/13/2015,Cat,Blue,3.0,Houston
67291506aa8b96,09/14/2014,Dog,Cream/White,5.0,Fort Worth
5858a6b121757a,02/14/2019,Dog,Black/White,40.0,Austin
a0dc09e7742b1e,12/07/2011,Dog,Chocolate/White,16.0,Austin
89dc2481ee88a6,09/22/2015,Cat,Black/White,3.0,San Antonio
5e84cc7b062ae0,07/29/2013,Dog,Black/White,38.0,Austin
e4ba52130f15ac,05/29/2014,Cat,Brown Tabby,6.0,Houston
36987c085bde65,05/28/2007,Dog,Black/White,31.0,Dallas
ca6b3cc9497e6d,04/13/2007,Dog,Tan,12.0,Austin
9e52020e7aa6d7,06/19/2013,Dog,Blue/White,42.0,San Antonio
5d0ef4c180d027,07/05/2016,Dog,Cream/Tricolor,49.0,San Antonio
1790c8be15a426,03/13/2016,Dog,Tricolor,23.0,Dallas
6eeeb96af18ab0,02/25/2014,Dog,Tan,46.0,Fort Worth
e66f0b7e9f17a6,02/28/2012,Cat,Blue Tabby,6.0,Fort Worth
ffeee03b856496,08/05/2015,Dog,White/Black,22.0,Austin
707b3ccb5adb6c,10/15/2015,Dog,White/Black,20.0,Fort Worth
0e7ce6528d3ca7,04/22/2019,Cat,Orange Tabby,7.0,Fort Worth
64059c9d71a829,01/16/2015,Dog,Black/White,23.0,Fort Worth
d7f6b72f07645c,09/15/2019,Cat,Brown Tabby,5.0,Austin
0b62fefdd91f38,11/06/2012,Dog,White,26.0,San Antonio
7ba56410400895,10/27/2013,Dog,White/Buff,38.0,San Antonio
95aa0a7ebbbd3e,02/04/2007,Dog,Brown/White,34.0,Houston
5022eb62c37910,11/26/2012,Dog,Tricolor,12.0,Houston
cf2cd8c4df4add,04/01/2010,Cat,Cream Tabby,6.0,Austin
fab3bc363ff09e,08/24/2019,Cat,Torbie,4.0,Houston
5c810a8c474243,04/07/2017,Cat,Brown Tabby,5.0,Austin
