sponsorid,id,Birthdate,Outcome,OutcomeSubtype,AnimalType,Color,Weight,Location
03e05f79f251,f0a587462213f7,05/22/2015,Return to Owner,,Dog,White/Black,43.0,Austin
90e11433c1c4,3feb34779c4a6e,01/05/2017,Adoption,,Cat,Black Tabby/White,10.0,Dallas
dcb784bea1bf,da07b7e4ceff47,05/30/2018,Transfer,Partner,Cat,Gray,2.0,Austin
53d3d178e222,4e7fb4bc666c1a,04/05/2014,Adoption,,Cat,Black,2.0,San Antonio
f0155f0ac093,d56d59c850eab3,09/19/2016,Transfer,Partner,Cat,Black,8.0,San Antonio
43f25920e1b0,f39673c8079433,11/08/2012,Euthanasia,Suffering,Cat,Seal Point,10.0,Austin
413a7a55d84a,16b4b4d9aa187c,01/28/2004,Euthanasia,Suffering,Cat,Blue Tabby,5.0,Fort Worth
0f51a4835242,b74975ff20b95f,06/08/2012,Transfer,SCRP,Cat,Brown Tabby/White,6.0,Fort Worth
d31052fc2a78,f8ded50b49d82c,05/02/2019,Transfer,Partner,Dog,Brown/Tricolor,6.0,San Antonio
ab833698395b,495f34a3bf2a28,11/28/2003,Return to Owner,,Dog,Blue Merle/White,47.0,Austin
0e6676bf1115,f4254aaa420b36,02/27/2016,Adoption,Foster,Dog,Black Brindle/White,31.0,Dallas
adfdbbcc5148,26f7d556655922,07/29/2014,Adoption,,Dog,Black/Brown,24.0,Fort Worth
4e0920827b06,11705a10e402eb,09/05/2016,Adoption,,Cat,Orange Tabby/White,8.0,Dallas
ae09da7dfe9b,8b2a5abe33cf08,10/15/2004,Return to Owner,,Dog,White/Chocolate,40.0,Dallas
f0288dcfacc6,8f5c03bb8b9094,07/11/2013,Adoption,,Dog,Tan/White,15.0,Houston
50b3711b2081,10d8aa1b81728c,04/12/2016,Transfer,Partner,Cat,Orange Tabby/White,8.0,San Antonio
8c93f5bf6e68,22b62809c7e4b2,03/11/2018,Adoption,Foster,Dog,Black/White,22.0,San Antonio
9c019cf17607,4f9226cc5f2458,02/07/2019,Adoption,,Dog,Black/Tan,3.0,Austin
8f77fa655835,fd8317f71194c2,06/03/2014,Adoption,Foster,Dog,Black/White,38.0,Fort Worth
8269e274e4f9,6eb779c76daeb9,12/28/2015,Adoption,,Dog,Black Brindle/Brown,38.0,Austin
11f37a5fc6f9,638f02c903e0dd,05/26/2016,Transfer,Partner,Dog,White/Gray,44.0,Houston
3c1704e23af2,969ddbf2762079,05/24/2018,Adoption,,Cat,Brown Tabby,9.0,Houston
5f761e6306c2,99cc8c75e79af5,07/03/2019,Adoption,,Dog,Black/White,24.0,San Antonio
d7355675c9c7,217d86c44e6a09,12/06/2012,Adoption,,Dog,Red,47.0,Fort Worth
5142a9854496,eb35ea865bcbb4,02/03/2019,Transfer,Partner,Dog,White/Chocolate,8.0,Houston
7923aea89a08,be1e45fc293c3a,07/06/2011,Return to Owner,,Dog,Tan/White,9.0,San Antonio
d9c5641ac299,04665dc7c146e0,02/05/2018,Adoption,Foster,Dog,Black/Brown,4.0,Austin
898000e9140a,95a1578b900bd7,02/24/2012,Return to Owner,,Dog,Brown/White,29.0,Fort Worth
ca4a763b9891,0ea103cbbd5de9,10/05/2008,Return to Owner,,Dog,Brown,38.0,Dallas
b0a118c0ffa6,9a2d9295cb090d,04/19/2019,Adoption,Foster,Cat,White/Black,5.0,San Antonio
db1293483050,0d92e7c7028a39,11/19/2018,Return to Owner,,Dog,White/Black,46.0,San Antonio
6144affb1985,24460c401a9662,07/22/2007,Adoption,,Dog,White/Black,44.0,Dallas
c78e13a8089f,d51a411bebfde6,07/24/2015,Adoption,,Dog,White/Brown,20.0,San Antonio
61961134c180,f4ecfb887aeb67,05/27/2015,Return to Owner,,Dog,Fawn/White,22.0,Dallas
1179b0e12ee6,e59c3fbe1ee3c1,09/27/2018,Adoption,,Dog,Black/White,25.0,Houston
0be78bd4cf4e,a1eea3b6ec6588,05/08/2016,Adoption,,Cat,Blue/White,5.0,Dallas
98e4f2f01d0a,9b7f190aa0d904,06/19/2013,Transfer,Partner,Dog,Brown/Black,34.0,Austin
a12fe4521a95,72eb1e392ee983,02/14/2015,Adoption,,Dog,Brown/White,15.0,Austin
c61ca5b1416c,31b2c0483553c3,02/18/2005,Adoption,,Dog,Red,49.0,San Antonio
2f7630bae12c,f4aa822136d429,09/11/2016,Adoption,,Dog,Blue/White,38.0,San Antonio
052e11fc78ce,0f8842b70ec351,08/19/2014,Transfer,Partner,Cat,Brown Tabby,10.0,Austin
b8c2405a75fa,d9f7643675f7a7,01/07/2013,Adoption,,Dog,Black/Brown,21.0,Houston
73cadaff7ec9,aac458f03551e9,03/31/2016,Adoption,,Dog,Brown/White,38.0,Dallas
bae0b69d1af0,cd99de65735d1a,02/14/2014,Adoption,,Dog,Tricolor,13.0,Dallas
f00a4d4e10eb,405e1a2552550e,04/11/2016,Adoption,,Cat,Orange Tabby/White,4.0,Houston
b47529dbadc1,22aa4e1112c8e3,12/06/2015,Adoption,,Dog,Black,33.0,Fort Worth
bc9d5e75e63c,eb703863be933d,10/16/2013,Return to Owner,,Dog,Black/White,41.0,San Antonio
5130c0315e81,05608920cc9f66,01/10/2016,Return to Owner,,Dog,White/Gray,18.0,Austin
a7ac309dd2c5,8f74a73d8d9066,07/23/2010,Adoption,Foster,Dog,White/Black,36.0,Dallas
6d35ea454347,6ab0d054db4d70,06/25/2018,Adoption,,Dog,Yellow/White,4.0,San Antonio
c50bf2d42227,381e7c9889bd45,07/20/2014,Transfer,Partner,Cat,Lilac Point,4.0,Dallas
830ca89c14e8,41b64cc1664ee8,05/31/2019,Transfer,Partner,Cat,Black,7.0,Fort Worth
2ff86c6a43fd,b31c59d2a4c6e9,05/23/2013,Transfer,Partner,Cat,Black/White,4.0,San Antonio
4e24e98ca8d5,806e6697e58733,03/28/2016,Return to Owner,,Dog,Black,7.0,Austin
f4158a512781,0fdc36cbd3104f,05/23/2014,Adoption,,Dog,Black,44.0,Fort Worth
fa5a33faa507,909089e5e83eb9,06/19/2016,Transfer,Partner,Dog,Brown,23.0,Houston
aa3263ea2033,55434c94093c44,11/24/2018,Transfer,Partner,Dog,Red,4.0,Fort Worth
2bdfac1f95b3,34ca234280fdff,10/03/2016,Adoption,,Dog,Brown Brindle,11.0,Austin
13a241c3e032,d502a454f397c8,03/25/2014,Adoption,,Dog,Chocolate/Tan,12.0,Houston
e834aaa27137,03f7dcc788b4ac,05/01/2016,Adoption,,Cat,Blue Tabby/White,3.0,Fort Worth
e28306a98772,fb464a8141c4ca,05/04/2017,Transfer,Partner,Cat,Black,7.0,Fort Worth
6e7a0773c60d,8183fd659af4ce,02/12/2017,Return to Owner,,Dog,White/Black,28.0,San Antonio
70275af07359,f13bb0ac32be6e,01/12/2006,Euthanasia,At Vet,Dog,Tricolor,24.0,Austin
4c5e88e56b11,9b80d822323a67,10/31/2018,Adoption,,Dog,Black/Tricolor,4.0,Austin
eb4038032388,af9466cfdd9b21,08/21/2019,Adoption,,Cat,Brown Tabby,3.0,Fort Worth
45518ae11fa3,867399354181a4,03/23/2016,Adoption,,Cat,Brown Tabby,10.0,Houston
e7e3024fc21f,484a071846f204,03/31/2017,Adoption,,Dog,Blue/White,49.0,Austin
303174068301,acc60c4c215676,10/06/2006,Transfer,Partner,Dog,Black,10.0,Austin
6f4ee9d17c53,8d6ff868a597ae,05/20/2012,Adoption,,Dog,Yellow,8.0,San Antonio
0c1ab0558880,b9a3ff934e800a,03/24/1999,Return to Owner,,Dog,Tan,8.0,Dallas
5d62e08bd12f,5b2e4d7d3f6636,06/02/2011,Adoption,,Dog,Black/Tricolor,15.0,Austin
b5c23179d470,b8ad91b0b65ab8,07/23/2014,Transfer,Partner,Cat,Brown Tabby,10.0,Dallas
43b5998afa45,1c67e5ea66f242,03/25/2015,Adoption,,Dog,Tricolor,32.0,San Antonio
eeca4b3d7f02,f4885c3121efc6,06/05/2015,Adoption,,Dog,Brown Brindle,34.0,San Antonio
678f59b7e626,824062522f84df,11/30/2015,Return to Owner,,Dog,White/Brown,4.0,Austin
6a7df7e5d54d,a0b5b6065c388a,07/10/2019,Adoption,,Cat,Calico,8.0,Dallas
5a5a0c65ca3a,7fa924dbbf98a5,09/04/2017,Adoption,,Bird,Red/Black,1.63,Dallas
8472d4537bde,01d343ccb391b0,07/24/2017,Return to Owner,,Dog,Black/White,45.0,Houston
214a98a4001a,dcc01542dd7688,12/16/2015,Return to Owner,,Dog,Tan/Black,24.0,Houston
75da9a7c8fad,5cfcbbbc141e42,11/20/2013,Return to Owner,,Dog,Brown/White,6.0,Austin
94d73f8f7b60,02eef9644761a8,04/07/2020,Adoption,Foster,Cat,Black Tabby,3.0,Dallas
b93ee984ff4c,c0006cd1277fde,02/20/2019,Transfer,Partner,Dog,Red/White,11.0,Fort Worth
70b15462d5d7,a98696ebb54f76,07/22/2014,Transfer,SCRP,Cat,Lynx Point,4.0,Dallas
3ac592e94cf2,7564af58509089,03/14/2013,Return to Owner,,Dog,Black/Brown,37.0,Dallas
6bdcce5c8846,594d17645626ea,10/04/2015,Adoption,,Cat,Black,6.0,Austin
5fd1e10c6c3b,e183c5c0467110,01/17/2012,Return to Owner,,Dog,Black/Tan,21.0,Fort Worth
69735580a6b2,704616bce71d7b,11/09/2017,Transfer,Partner,Dog,Tan/Black,14.0,San Antonio
4001e59d4be4,dd9f707bbcdd8b,04/03/2018,Adoption,,Cat,Orange Tabby,7.0,Austin
b3421ded70a2,29c609d5088d82,08/12/2018,Adoption,Foster,Cat,Brown Tiger,2.0,Austin
71c6db1d5a66,9232cfde04a57f,04/26/2012,Adoption,,Dog,White/Black,17.0,Austin
6e8e34a7beee,3cdae193285ec4,01/31/2016,Transfer,Snr,Cat,Brown Tabby/White,4.0,San Antonio
942c5ab762fa,0cf6f6ecaf20cb,11/27/2010,Return to Owner,,Dog,Tan/White,31.0,San Antonio
106045d46dfe,5aed8f02695b63,09/01/2014,Transfer,Partner,Cat,Brown Tabby,2.0,Fort Worth
439c69b68258,cc6a39e590619d,10/12/2015,Transfer,SCRP,Cat,Brown Tabby,3.0,Austin
70c3883c1141,741c8a3d123ea4,01/26/2019,Transfer,Partner,Cat,Brown Tabby/White,5.0,Fort Worth
0042e7543d9c,d9fc0659a72cb1,10/18/2012,Transfer,Partner,Dog,White/Tan,32.0,Houston
6337e9f458d1,e0bb13821a85ad,06/26/2011,Return to Owner,,Dog,Tricolor,17.0,Fort Worth
7a46557921ee,aa63ecb8d6b17c,07/11/2018,Transfer,Partner,Cat,White/Gray,2.0,San Antonio
916b92323ec9,573411c7a42f5a,06/28/2015,Adoption,,Dog,Tan/White,9.0,San Antonio
15c062d2546a,0a756bdf58ab06,11/06/2019,Adoption,Foster,Dog,Cream/White,24.0,Austin
