sponsorid,animaltype,location
348407bf36e509,Dog,Dallas
c752448217d6f7,Cat,Houston
8782af7f966ad9,Dog,Fort Worth
c256809b4e2910,Dog,Fort Worth
62903579718f46,Dog,Fort Worth
449aef5cb22c84,Dog,Houston
bd07ffb4f6fd1f,Dog,Dallas
13c3f484ce742e,Cat,Houston
cbeb2c1cb9d515,Dog,Austin
c66ff81a52aa52,Cat,Fort Worth
cf0e04f3213896,Dog,Austin
4c068396c8e674,Dog,Austin
3f06768fad0520,Dog,San Antonio
81dbe8867914a2,Dog,Houston
ff2fd97926bc7c,Dog,San Antonio
998ead7c025be2,Dog,Fort Worth
0bcc2c08d68333,Dog,Houston
1bfe07b982ef07,Dog,Austin
08e4c5ea8b097f,Cat,San Antonio
0f1fbf39b24fb3,Cat,San Antonio
83af88265c735d,Cat,Fort Worth
887dde9cabbece,Dog,Houston
d70a4c866d34b8,Dog,Houston
faa2a8396de3f0,Cat,Dallas
2d0c22a395760e,Cat,San Antonio
541aaf179ba5b0,Dog,Austin
305e6607ed3d8d,Dog,Austin
7634d65285a094,Dog,San Antonio
28b45c7a81f96b,Cat,Houston
0883d47dff6480,Cat,Austin
82afc938a1e576,Dog,Austin
c0f28c1837c102,Dog,Austin
205f7a15d0bb28,Cat,Austin
57645188f52929,Cat,San Antonio
7b53b7cae9de5b,Cat,Fort Worth
ee043c8c8d1c04,Dog,Fort Worth
f99243385ba4fd,Cat,Fort Worth
9e76b7c05b7085,Cat,Dallas
9e1f35264081b1,Dog,Austin
72dcf07994fdad,Dog,San Antonio
234670c2fa5282,Cat,San Antonio
55a28ff6e1c953,Dog,Austin
80dc126500355a,Dog,Austin
a7f5c8eb4ad8ec,Dog,Fort Worth
8b95ce6424f05f,Dog,Dallas
e72297306b8105,Cat,Austin
2bffd3b250c35d,Cat,Austin
cfc9bf92eb8dca,Dog,Austin
bac437cd5f037d,Cat,San Antonio
2aaabc8ff5ea14,Dog,Houston
f2b719fd388285,Cat,Fort Worth
0b275a034a239e,Dog,Dallas
70795be0102934,Dog,San Antonio
138d7dbd9bc2e4,Dog,San Antonio
8a88dc476d870c,Dog,San Antonio
8c67b354a53561,Dog,Austin
b6cbb0cdb74eb3,Dog,Houston
22065a79b423d6,Cat,San Antonio
a347de14dae9d2,Cat,Fort Worth
db3795bf87cff4,Dog,San Antonio
81dc7498bae18b,Dog,Austin
4e2f5afdbfe3d3,Dog,Austin
b99525c127ea4d,Cat,Houston
11947460935de5,Cat,Houston
1d3a6060fb5ab6,Dog,Austin
9b03e2234af9bc,Cat,Austin
5b331cab49d877,Dog,Fort Worth
3bad4b95557d28,Dog,Fort Worth
82eb52975e0814,Dog,Dallas
17016db4742c3e,Cat,San Antonio
5cb563572132eb,Dog,Austin
2d6774be3a63c0,Dog,Austin
b21caf5eb98d92,Dog,San Antonio
d949b4caa0b91c,Cat,Austin
70ac2fddce514d,Cat,Houston
0d9750a3cd65dc,Dog,Austin
7e0d9c828cb75a,Cat,Austin
6e38deccb64ff8,Cat,Austin
57fa849bb69e89,Cat,Fort Worth
ac92d61f90c027,Cat,Fort Worth
28a1663e2a1feb,Cat,Houston
57605eb566e315,Dog,San Antonio
950ade92103851,Cat,San Antonio
ec594b1e498e91,Cat,Fort Worth
9b5bb796bbdefb,Dog,Austin
256cb829d2721a,Dog,Houston
983f4c32be9b23,Cat,Fort Worth
463d179659100f,Dog,San Antonio
d07324511868e3,Dog,Houston
e4c4d82b6d958c,Cat,Fort Worth
ca4920252d1a74,Dog,Fort Worth
880fa24173ae95,Cat,San Antonio
15e6a2ed9758cf,Cat,Fort Worth
8aeaa72cc7f612,Dog,Houston
a5f60e13c97330,Dog,Austin
178d8c2655d455,Dog,Houston
cb8f0d8618b1ba,Dog,Austin
e2667564b961b0,Cat,Austin
7450b26356c431,Cat,Austin
fb33647c9ba326,Cat,Dallas
0d571dc84af97e,Dog,Houston
af07f6b53a1810,Dog,Fort Worth
027ae2031349f7,Cat,Fort Worth
6aadb19cb4ddfd,Cat,Houston
24abd334466fd6,Dog,San Antonio
1c7fe09df64829,Dog,Houston
93288416c953a8,Dog,San Antonio
c1e116bb4a84b8,Dog,San Antonio
4fb17d44a02bba,Dog,Houston
442ff5b74273fb,Dog,San Antonio
55f1116b2f7800,Dog,Fort Worth
5bd88c8ec394a1,Dog,San Antonio
7af27bd622bb93,Cat,Austin
1217541c883b38,Cat,Houston
9d5e576d89273d,Cat,Dallas
9492e351576371,Dog,Fort Worth
573411c7a42f5a,Dog,Fort Worth
babeb94335a8e6,Cat,Houston
76654db5807432,Cat,San Antonio
d458027f3f977b,Dog,Dallas
48ea6f75e7a95b,Cat,San Antonio
075f7c8bb0412a,Dog,San Antonio
abf517d46f4c3e,Cat,Houston
517e21d3c0f1e9,Dog,San Antonio
287ef5605e4928,Dog,Austin
13c5b4caaa0629,Dog,Houston
1cb2f91c3a3b69,Dog,San Antonio
cbbbc37151ef03,Dog,Houston
83c2c0beedf8fb,Dog,Houston
a180ef4efb22f4,Cat,Austin
73667d5df0d4a4,Dog,Dallas
b6e709c5f1fe42,Cat,Austin
0a404486cecf34,Cat,Austin
0b4fcef46087c2,Cat,Dallas
7ae428c13a3f68,Dog,San Antonio
3075e4dbee15dd,Cat,Austin
e2c59ed55a8e93,Dog,Fort Worth
621ad9691da213,Cat,Austin
5472c9ec4fe184,Dog,Fort Worth
d950b2a1183f95,Cat,Fort Worth
83c51e8903b540,Cat,Austin
0f4a4d5a78600f,Cat,Houston
083bcee8e75b46,Dog,Houston
321f0f9124f69d,Cat,San Antonio
2a9ce928d3238c,Cat,Austin
c7fce703e4448a,Cat,Austin
f3e9b9e62a2125,Dog,Dallas
62867ec4ff2941,Dog,Houston
479bb779af59d3,Dog,Dallas
1db02e3a83ba3a,Cat,San Antonio
c38e2ed188c93e,Cat,San Antonio
12a07d566e9cc8,Cat,Austin
305f18f9759f27,Cat,Dallas
294c438fd5f93b,Cat,Houston
9d5438f7157fb8,Cat,Houston
4a4c89d0eb894d,Cat,Dallas
ee339127648198,Dog,Fort Worth
d626045c4305f7,Dog,Dallas
56682acae6ccd4,Dog,Austin
467b36a4439e61,Cat,San Antonio
a102e21586e2e4,Cat,San Antonio
3b38d9683bd1b6,Dog,San Antonio
d7b25c2f126f00,Cat,Houston
681f245a3396cf,Cat,Dallas
50eb23f0f728a3,Dog,Austin
b22a6077796fae,Dog,Austin
c44037cb92da3c,Dog,Fort Worth
781dbf7e4044e7,Dog,Austin
fcf35a1d070120,Cat,Austin
61be9abb98409f,Cat,Houston
13fbb76e6ba73d,Dog,San Antonio
b65f1f84723917,Dog,Fort Worth
75cbb9da993fbb,Dog,Austin
be480bfb04c243,Cat,Austin
1cbbe708c352ba,Dog,Houston
7ce574172664de,Cat,San Antonio
739decd80dc9d4,Dog,San Antonio
940a059fee771f,Dog,Austin
23a6c6d08dab16,Dog,Austin
fbda2ff4b8da30,Dog,San Antonio
f287d13dcb13ba,Dog,Dallas
9e860571e7f7de,Cat,Dallas
628f8c44f68125,Cat,Austin
ab93a484dcc2a1,Dog,Dallas
dafe5d12f3cd81,Dog,Houston
320162e517a023,Dog,San Antonio
5266d26ed798ce,Cat,Austin
afd5715b5016a3,Dog,Houston
33822734f4256b,Dog,Dallas
08602ad35dacb3,Cat,Austin
494a2d397fb0a7,Cat,San Antonio
ff89ca1c22ba49,Cat,San Antonio
62c2f06ee96224,Cat,San Antonio
66561d74a54a5c,Dog,Fort Worth
beb17709c9f552,Dog,Houston
2eaf32513fb127,Dog,Dallas
7f4b8ebba62bba,Dog,Houston
f4741244cd0fa0,Cat,San Antonio
ad3f4d8882623e,Dog,Houston
e7eae8cc0dbde1,Dog,San Antonio
016a1ef675908d,Dog,Dallas
ad251a2bb21345,Dog,Austin
2680239e1fe7fd,Cat,Dallas
1bffa5b573b4ac,Dog,Austin
fce174f580d12e,Dog,Austin
023c4a61ff887e,Dog,Houston
dade6f9dd0b242,Cat,San Antonio
76e78609021981,Cat,San Antonio
0ab1ca1b148cae,Cat,Houston
7ff47790a81814,Cat,San Antonio
5bcbd3ed016b6a,Cat,Austin
be94ffb69e0c2f,Dog,Austin
c5f2aefa2f89a1,Cat,Dallas
d031ad02822ba0,Cat,Fort Worth
fad10d4b3b48b3,Dog,Austin
bbe38da7b182ea,Cat,Fort Worth
716e2f59b058ce,Cat,Houston
e8dae35223b911,Dog,Austin
471103a778557c,Cat,Houston
f1f8ef8873832e,Cat,Fort Worth
2807bc51003d76,Dog,Dallas
c002dfabd1c538,Dog,Dallas
8e56efb69ebc16,Cat,San Antonio
856f62d1693c73,Cat,Houston
1b0bd1e24e067f,Dog,Fort Worth
597ff535bade52,Cat,Fort Worth
164a5e22c19447,Dog,San Antonio
859ef86094cea2,Dog,Houston
c84ab828ba1641,Cat,Dallas
314c211835a532,Cat,Fort Worth
0cc49d5fa86fd9,Dog,San Antonio
6d9a8af94fe510,Dog,San Antonio
e1259b946c13b4,Dog,San Antonio
50ae8eaad05059,Cat,Austin
2203e6ef763450,Cat,Austin
65e52ebdc25802,Dog,Fort Worth
37611aec28a10d,Dog,Dallas
a55ca6b4f4f943,Dog,Dallas
407a7799563ccd,Dog,San Antonio
3648fb2c7ae672,Cat,San Antonio
98b7e4698f52ac,Cat,Fort Worth
72fdd934a2b6e5,Dog,Houston
29238db2d703f1,Cat,Dallas
178f1189a06b68,Cat,Houston
ccdea7aa3a5cb2,Dog,San Antonio
09cddc7f5f6ba6,Dog,Fort Worth
ed22be4af0a29a,Cat,San Antonio
f59dd6a790a4cc,Cat,San Antonio
327969a39d898a,Cat,Houston
774d86a8433dd5,Bird,Houston
6a840ea8705a9b,Dog,Dallas
d1e81d2aeb6e93,Dog,Dallas
f12f6158acee5e,Cat,Austin
0822c25b8f7e97,Dog,Austin
1139d0ccdaa99a,Cat,Houston
998e861da96ee6,Dog,Austin
d1bfb6b9cc0ad3,Dog,Austin
cf2cd8c4df4add,Cat,Austin
4c649a58eee23a,Dog,Austin
6002c8a35f8cd3,Cat,Houston
612d561dcc18c7,Dog,San Antonio
841460a4bc82df,Dog,San Antonio
ff5edfaf6d9ad3,Dog,Houston
a10164bc50fdd2,Dog,Dallas
fff2b67c8f792e,Cat,Austin
16ead6bd6e9369,Dog,Dallas
d736e150ccfa87,Dog,Austin
928da2fbd35610,Dog,Fort Worth
e722898d83add8,Dog,Dallas
6057bbd0f3e525,Dog,Fort Worth
4c663e3a095eed,Dog,Fort Worth
0226acba6062f2,Cat,Houston
51f305fc5cd1cd,Dog,Houston
ab97893fc43372,Cat,Austin
bdeb7bf5a15817,Dog,Austin
fc49ba2af6334a,Dog,Austin
a627e9d6d40e18,Dog,San Antonio
a206a8b40ce2de,Dog,Houston
308f3518ffa303,Dog,Austin
41b186d33c102a,Cat,Austin
71483c635d0692,Dog,Fort Worth
843b7522b8640c,Dog,San Antonio
3ce0148f80c046,Dog,Houston
6ab3c3281b40ca,Dog,Dallas
86bd5b1239b6fc,Dog,Houston
225d849a85945a,Dog,Houston
a3359cc3e7533a,Dog,San Antonio
9a3e191f0cade7,Cat,Houston
89deaf0f50e54c,Cat,Fort Worth
529971b2710e93,Cat,Austin
f06f37e0767d88,Cat,Austin
de77cea1a1a8cc,Dog,Fort Worth
9c69ca9cb53a9f,Dog,San Antonio
d599c6bece93c2,Cat,San Antonio
82d7fde97318e2,Cat,Austin
c6c43ca7c21684,Dog,Austin
fb1e6f89509701,Cat,Dallas
25c7ad0fa5cb6b,Dog,San Antonio
d4caf3126751e5,Cat,Houston
b4b421141f9c9c,Dog,Houston
ef7e81db918f3a,Cat,Dallas
56b005724e6e96,Dog,San Antonio
8ffb8c3229ba31,Dog,Houston
16e3cb364507a2,Cat,Austin
d6da1c07626a6b,Dog,San Antonio
0a5abab5948f36,Dog,Fort Worth
2ea715cf5c5e45,Dog,Austin
3adda287db4c37,Dog,Fort Worth
4410dd33a49890,Dog,Dallas
98d2cf32a2faa5,Dog,Dallas
1af05f936b840f,Dog,Austin
c00da664c8465e,Cat,Austin
55a89e47f654e1,Dog,Dallas
2f5552f52c6242,Dog,Austin
8144b1e38da43d,Cat,Houston
9435eeb83db02e,Dog,Houston
da2de08c2c47b9,Cat,Houston
7b4c253055a73e,Dog,San Antonio
75b86c65f501d9,Cat,Houston
39c39ceff41368,Cat,Houston
a4e8f7b575f7a0,Cat,Houston
a9c2fe9439be9f,Cat,Dallas
207b0fec20898e,Cat,Dallas
481d1a7c2a528b,Cat,San Antonio
3284e0c3cf6e87,Dog,Houston
a348060cb0909a,Dog,Austin
8732c9b72d8e57,Dog,Dallas
b7729fe91e24b1,Dog,Austin
d0c8c71cad18c5,Cat,Austin
b636f709a09800,Dog,Houston
9e87388fdff484,Dog,Dallas
136bec2b8b9049,Dog,Austin
4a4e06b072818a,Cat,Fort Worth
275cf6615c9b6b,Cat,Houston
6951b98e9cb314,Cat,Dallas
c07968c0c5c0d8,Cat,Houston
2e88bfb6a7552a,Cat,Austin
b7de45ee3912c8,Cat,Houston
d3599ab5727ee1,Cat,Dallas
42dcf00b0b36d6,Cat,Austin
870a9302845fa5,Cat,Dallas
ff8f47cc51533c,Dog,Fort Worth
9a836782470629,Dog,Austin
fa467479afc3f2,Dog,San Antonio
c4da8838ef1d36,Dog,Austin
ca2c06f59f7b7e,Cat,Dallas
962ac86ac1b12d,Cat,Austin
6da5832570f624,Dog,Austin
aa29c884fcb3be,Dog,Austin
4901bfd7f6e7f0,Cat,San Antonio
68fe456f197c8e,Dog,Houston
bed0858e716ff3,Cat,Dallas
d99ad384bb4d67,Bird,Fort Worth
38c742982edbab,Cat,Houston
ee4e854a607d44,Dog,Dallas
95d193da580a59,Dog,Dallas
9e888cf14eaed0,Dog,San Antonio
8b6a721b858a2c,Dog,Austin
617be218c12ce3,Cat,Houston
f03a6bf55a2aff,Dog,Austin
3fcba8ffcfe52f,Cat,Houston
09190518d2b20e,Cat,Fort Worth
4877469d4d2610,Dog,Austin
0e3c4eccf9ec67,Cat,San Antonio
eec30967b6f4f8,Dog,Houston
f8d82d0adaae5e,Dog,Austin
4662e15e3f3c78,Dog,San Antonio
7db9c05708ea34,Dog,Houston
3369b976c278c1,Dog,San Antonio
d1e8a3a47cee4a,Dog,Dallas
2851aba5da8b4e,Dog,Dallas
d1ead20d5dbcf8,Dog,Houston
33008a201448b7,Dog,San Antonio
2c7d4dd63c5252,Dog,Austin
fe155e454a037f,Cat,Dallas
8b59fbd1465c8c,Dog,Austin
5ff784d71252b9,Dog,Houston
fa34b904169843,Cat,Austin
f1dfe28b8a35d1,Dog,Austin
624f438c3c7035,Dog,San Antonio
1bbe28000950b2,Cat,Dallas
0846bf7cb34717,Cat,Dallas
228149b3894e23,Dog,Fort Worth
fdd2f78bf10859,Dog,Austin
1ce7b052196943,Dog,Austin
eeb2416306c542,Dog,Fort Worth
8f40c04bbe0c74,Dog,Austin
4e8d5824c0c69c,Dog,Houston
a476ca0434fe4f,Cat,Austin
22ab17655ec024,Dog,San Antonio
254c8eabd3f491,Dog,Austin
4066bb94192cdf,Cat,Dallas
4b6785d2601ce2,Dog,Houston
25a9b49353feef,Dog,Fort Worth
61b82c178632fb,Dog,Houston
37f49de5cea939,Dog,Houston
79cc2cd438cbd0,Cat,San Antonio
a8d42255824229,Dog,Houston
c8b69f5ebb128c,Dog,Dallas
82863704071cb8,Dog,San Antonio
49bab3d1e846ff,Dog,Fort Worth
a17ff5946da68f,Cat,Fort Worth
aeae4348b4eca1,Cat,Austin
336cb069082a6a,Dog,San Antonio
d1c366e78b3088,Cat,San Antonio
e085519e9e95c9,Dog,Houston
f62bbb39a7e827,Cat,Dallas
44d5f4d7aa1420,Cat,San Antonio
97e8cccc1f396f,Dog,Fort Worth
67291506aa8b96,Dog,Fort Worth
9f09da330f9a4b,Cat,San Antonio
fca13a3e10808a,Dog,Austin
2982b782e6a32b,Cat,Fort Worth
4f8a9d1c52289e,Dog,San Antonio
a2e4423fc63c47,Cat,San Antonio
f61b8988ce5e8a,Cat,Austin
d081ae1e62c208,Dog,Austin
c7053823843495,Cat,Houston
d78399c15696b6,Cat,Houston
c479e50fa3f59a,Dog,Austin
ce9f145d3a2f5e,Dog,Fort Worth
a67f27a9b6490b,Dog,Houston
5c843b6b6ba024,Cat,Austin
9dc4dde9828ae4,Dog,Fort Worth
ad939eee77cc73,Cat,Austin
962a10c8e8b798,Dog,Austin
b6920807768f70,Dog,Dallas
82319110cdff0f,Cat,Houston
eff95a9586adaf,Cat,San Antonio
25169403abec3a,Cat,Fort Worth
8edbaca4f4fd8d,Cat,Fort Worth
a7ac1b996dcfeb,Dog,Austin
34cf3cadb5bfb9,Cat,Houston
7e08455809174a,Dog,Austin
b774c018ee5ee8,Bird,San Antonio
286a79ec728911,Cat,Austin
559b08e177ae07,Cat,Austin
955265afcf1191,Dog,Austin
c6192045be9ce9,Cat,Dallas
b6beadd9673e3a,Cat,Houston
d701245268bd06,Dog,Austin
752e8ff43ead60,Cat,Houston
add3963f9158d8,Dog,San Antonio
2e673873fdeeed,Cat,Houston
74f2963fbfe21c,Cat,Austin
c3eb504a4e9d6d,Dog,Austin
c94f11224394c1,Cat,Austin
9c2339148ed507,Dog,Austin
0036bf506c4a0d,Cat,San Antonio
43a4ed527b08d9,Dog,Austin
b3d349998e0e75,Dog,Dallas
f6317fba4a7b17,Dog,Houston
ab64a8797576c3,Dog,Houston
2d4989754e589d,Cat,Austin
7f47ec42f73e9a,Dog,San Antonio
5612677b853e3a,Dog,Austin
dbb0bfa4475d92,Dog,Austin
ff21fa4a94689c,Dog,Houston
c05e8e0979d38c,Cat,San Antonio
d484e3df3f9434,Dog,Fort Worth
8d466d5e3cc7f1,Cat,San Antonio
8cef2a3b4bea60,Cat,San Antonio
1e7ab37a2efbbc,Dog,Fort Worth
840f2c81715228,Cat,Dallas
ad34337cd40d3c,Cat,Austin
0672e4960b7b90,Dog,Dallas
89a0cb02c34458,Cat,Fort Worth
849b38abb387ba,Dog,San Antonio
e5e103cb1661d9,Dog,Fort Worth
0b32c610e18127,Cat,San Antonio
d91cdf72174f1c,Dog,Austin
b357c932f2cfc9,Dog,Houston
7db6293058b605,Cat,Houston
6437a6c08ffd92,Dog,San Antonio
f506471122c937,Dog,Houston
500e2352c5956e,Cat,Houston
7b7ff323124444,Cat,Houston
c8665fb6eda51e,Cat,Houston
e14498508bfc5a,Dog,Houston
fe92a05f638ac8,Cat,Austin
d7e23d1f5cdcc4,Cat,San Antonio
2cea6ea1acfe88,Cat,Austin
f105bc710a3431,Dog,Austin
3adb2a0c5805d6,Dog,San Antonio
c6031d6ff8e18a,Dog,Houston
66e69ec109805f,Cat,Austin
ca710c1deb0b3b,Dog,Houston
affbb1bf5c7033,Dog,Fort Worth
9feadb19345851,Cat,Austin
1885e1c05a4c53,Cat,San Antonio
6c7e8520aa3640,Cat,Dallas
59e412f1cb2697,Dog,San Antonio
05e600549500fb,Dog,Fort Worth
df5870a2c56148,Cat,Dallas
8a4f1c9d4cc0fd,Dog,San Antonio
8bab03d69e84be,Cat,Houston
562be418bf17c8,Cat,Dallas
54be6c30410508,Cat,Fort Worth
0ce645e6a19621,Dog,Houston
378f72dfebf834,Dog,Austin
d473ca85362376,Cat,Dallas
ca32907ebf9a9a,Dog,Fort Worth
5208bd6c6b06ce,Dog,Fort Worth
6c7c6d5f77f560,Dog,Houston
db167a00018db8,Dog,San Antonio
e641f744905d09,Dog,Austin
371c4d86474ac8,Dog,Austin
4f3383da668b85,Cat,Houston
85967bb4d8d7f5,Dog,Austin
4131f52702f4ca,Dog,Houston
b8d654eaaadfe3,Dog,Fort Worth
057887c553ae00,Dog,San Antonio
38ba695cbc7c91,Cat,Austin
b146d4cd252537,Dog,Houston
e0fb6974ba90c5,Dog,Dallas
e9d3c403812eee,Dog,Austin
b5b94d0d2d1138,Dog,San Antonio
4927bb16d1a56d,Dog,Austin
7aaf5cacb7c924,Cat,Dallas
0e383f02b5def0,Dog,San Antonio
675489fb8e8757,Dog,Dallas
b2dbffaf52e77b,Cat,San Antonio
471d8466b165fe,Cat,Austin
46d5ba2e7075bd,Dog,Fort Worth
0897569e99a294,Cat,Austin
9274d2ff37c1c8,Dog,San Antonio
6bab99cdce2c6a,Dog,San Antonio
c25b8461804248,Cat,Austin
d8e4ab47745398,Dog,Austin
1a29da4d7156ac,Cat,Austin
301d456a1e3010,Dog,Houston
beb901b24e656a,Dog,Houston
1d93b67abe0591,Dog,Austin
f90486816ce2d4,Dog,San Antonio
02430dec629ab8,Cat,Austin
2beffff933f37c,Dog,Houston
90ffea83742196,Dog,Dallas
abcd071c0eefe5,Dog,San Antonio
7f00aa4a214b01,Dog,Austin
f58cad77f1ce9a,Dog,Fort Worth
b2ec4b9a172805,Dog,Fort Worth
e37e63ddf6d4a1,Dog,Dallas
051f8116bb5cf1,Dog,Houston
b11c511c89f345,Cat,San Antonio
f1df71ef33b649,Cat,Austin
4d88fb93363df3,Cat,Austin
d838e1027c142a,Dog,Austin
bd35ad2819db57,Dog,Fort Worth
67953594bc94a1,Cat,Austin
2d4e9046797ed6,Dog,Austin
ce5a012fe005f2,Dog,Austin
0251b9d41bfbe0,Dog,Fort Worth
2f06abcd3e122e,Cat,Houston
a6633e65816683,Dog,Austin
81e325fb1337df,Dog,San Antonio
b776fd8a79bf8f,Dog,Austin
7ebbc6ccb19142,Dog,Houston
05461682efeae9,Dog,Austin
300a93279856f7,Dog,Houston
402ae205069f1f,Cat,Dallas
9b83412f10d8cd,Dog,Dallas
4c019841f265cd,Cat,Dallas
379b29d4d4118c,Dog,Austin
b1b5ab707c46bd,Dog,Houston
be74fde13d943a,Dog,Houston
6a949d70650fca,Dog,Fort Worth
5f19a9cf8d1a33,Dog,Austin
7ebd47010c7007,Dog,San Antonio
1d7669d8cd8e1e,Cat,Dallas
df90022964551d,Cat,Austin
f98dce8288dd42,Dog,Houston
2627ec37c49e72,Dog,San Antonio
7cbf2bfde3f708,Dog,San Antonio
3bee4a81d4b1e6,Dog,Austin
074f525f44da0b,Dog,Fort Worth
373060fee1fe6a,Dog,Houston
9d03a7e9c7c725,Cat,Austin
b0277c955785c1,Dog,San Antonio
2b8389905d4cda,Cat,Fort Worth
9428d09cc2d834,Dog,San Antonio
714005507b316d,Dog,San Antonio
85abcc02691d2b,Dog,Houston
17c41008839a8b,Dog,Austin
ccde9f04f22015,Cat,Dallas
bcc8af4c185453,Dog,Austin
3435cfb1946c0d,Dog,San Antonio
76c61b60a22d68,Cat,Fort Worth
55c03da3382b0e,Dog,San Antonio
38cc97f21541ca,Dog,San Antonio
fa84568069fa83,Cat,Houston
4ab94dc7d556bb,Cat,Houston
2041c8ededc5d5,Cat,Dallas
e1109415dc58d7,Dog,Dallas
0ebf4cc3d41a6d,Dog,Houston
4d8d9addb58ee1,Cat,Houston
99e5d62cbc90f5,Cat,Austin
7a8b9b67229ba3,Cat,Austin
d4749e3b6ef413,Cat,Fort Worth
606c7d9898a78b,Dog,Austin
ada5c0c96ee7d1,Dog,Houston
19da7406d73916,Cat,Fort Worth
74cedb3d7d0794,Cat,San Antonio
e8b2eb988f72e5,Cat,San Antonio
e646510f3c6465,Cat,San Antonio
efb9a8005140f9,Dog,Fort Worth
af311ac8411b14,Dog,Austin
7536271d525d72,Dog,Austin
70f941d2e5d38d,Dog,Houston
dfc7b10300bfdb,Cat,Houston
2e1639823167cb,Dog,Houston
983cbe122c991f,Dog,Dallas
b9037f9e7b4800,Cat,San Antonio
34388210deb1ba,Dog,Austin
56f89adafb837a,Dog,San Antonio
b74edd6de09251,Dog,San Antonio
1a495fae0e7e81,Cat,Austin
6ba9483dc0f88c,Dog,Houston
264f0924355194,Cat,Austin
3469c8ef50d1fa,Dog,Houston
cb3c2e21ae89c8,Cat,Dallas
4635413a17d3e0,Cat,Austin
597882b486f7c7,Dog,Dallas
204c1a0fdc7a7d,Cat,Houston
09bd170b0c37e9,Dog,Austin
1744ed980f9576,Dog,San Antonio
141a2b3bf8658a,Dog,Austin
59f9029da479b2,Dog,Houston
29da8aaa124ecb,Dog,San Antonio
bf1202df619ed4,Dog,San Antonio
3bd1ca6c4fc722,Bird,Houston
e5dee5a3df53a6,Dog,Fort Worth
7aae7abc603fc0,Dog,Dallas
9ae3f8e20575c4,Cat,Austin
a4c767fc74f21f,Cat,Austin
